category,subdir,file,run_class,n_comp,n_units,n_streams,unit_ops,prop_method,in_units,analysis,analysis_kw,kinetics,temp_range,pres_range,n_conn,topology,parse_ok,err
PVT Experiments,PR,Viscosity_Experiment_PR_Model_Tuning_Step I.bkp,FLOWSHEET,15,2,7,FLASH2,PENG-ROB,US-1,SENSITIVITY CALCULATOR,OPTIMIZATION,-,164.00 C,300.00~304.30 bar,2,FLASH2 | 2条连接,OK,-
PVT Experiments,PR,Viscosity_Experiment_PR_Model_Tuning_Step II.bkp,FLOWSHEET,15,2,7,FLASH2,PENG-ROB,US-1,SENSITIVITY CALCULATOR,OPTIMIZATION,-,164.00 C,300.00~304.30 bar,2,FLASH2 | 2条连接,OK,-
PVT Experiments,SAFT,Constant_Mass_Expansion_PC-SAFT_Model_Tuning.bkp,FLOWSHEET,22,52,82,FLASH2 + MIXER,PC-SAFT,SI,CALCULATOR,OPTIMIZATION,-,155.00 C,146.20~607.95 bar,52,FLASH2 > MIXER | 52条连接,OK,-
PVT Experiments,SAFT,Constant_Volume_Depletion_PC-SAFT_Model_Tuning.bkp,FLOWSHEET,22,23,39,FLASH2 + FSPLIT + MIXER,PC-SAFT,SI,DESIGN-SPEC CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,150.50 C,49.30~400.00 bar,29,FLASH2 > FSPLIT > MIXER | 29条连接,OK,-
PVT Experiments,SAFT,Differential_Liberation_PC-SAFT_Model_Tuning.bkp,FLOWSHEET,13,18,39,FLASH2,PC-SAFT,SI,CALCULATOR,OPTIMIZATION,-,15.00~97.50 C,1.00~405.30 bar,18,FLASH2 | 18条连接,OK,-
PVT Experiments,SAFT,Separator_Test_PC-SAFT_Model_Tuning.bkp,FLOWSHEET,14,6,13,FLASH2,PC-SAFT,SI,CALCULATOR,OPTIMIZATION,-,15.00~97.80 C,1.01~250.00 bar,5,FLASH2 | 5条连接,OK,-
PVT Experiments,SAFT,Swelling_Test_PC-SAFT_Model_Tuning.bkp,FLOWSHEET,22,5,15,FLASH2,PC-SAFT,SI,CALCULATOR,OPTIMIZATION,-,73.00 C,250.00~340.00 bar,4,FLASH2 | 4条连接,OK,-
PVT Experiments,SAFT,Viscosity_Experiment_PC-SAFT_Model_Tuning.bkp,FLOWSHEET,15,2,7,FLASH2,PC-SAFT,SI-USER,SENSITIVITY CALCULATOR,OPTIMIZATION,-,164.00 C,300.00~304.30 bar,2,FLASH2 | 2条连接,OK,-
PVT Experiments,SRK,Constant_Mass_Expansion_SRK_Model_Tuning_Step I.bkp,FLOWSHEET,22,52,82,FLASH2 + MIXER,SRK,SI,CALCULATOR,OPTIMIZATION,-,155.00 C,146.20~607.95 bar,52,FLASH2 > MIXER | 52条连接,OK,-
PVT Experiments,SRK,Constant_Mass_Expansion_SRK_Model_Tuning_Step II.bkp,FLOWSHEET,22,52,82,FLASH2 + MIXER,SRK,SI,CALCULATOR,OPTIMIZATION,-,155.00 C,146.20~607.95 bar,52,FLASH2 > MIXER | 52条连接,OK,-
PVT Experiments,SRK,Constant_Volume_Depletion_SRK_Model_Tuning_Step I.bkp,FLOWSHEET,22,23,39,FLASH2 + FSPLIT + MIXER,SRK,SI,DESIGN-SPEC CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,150.50 C,49.30~400.00 bar,29,FLASH2 > FSPLIT > MIXER | 29条连接,OK,-
PVT Experiments,SRK,Constant_Volume_Depletion_SRK_Model_Tuning_Step II.bkp,FLOWSHEET,22,23,39,FLASH2 + FSPLIT + MIXER,SRK,SI,DESIGN-SPEC CALCULATOR,OPTIMIZATION CONV-OPTIONS,-,150.50 C,49.30~400.00 bar,29,FLASH2 > FSPLIT > MIXER | 29条连接,OK,-
PVT Experiments,SRK,Differential_Liberation_SRK_Model_Tuning_Step I.bkp,FLOWSHEET,13,18,39,FLASH2,SRK,SI,CALCULATOR,OPTIMIZATION,-,15.00~97.50 C,1.00~405.30 bar,18,FLASH2 | 18条连接,OK,-
PVT Experiments,SRK,Differential_Liberation_SRK_Model_Tuning_Step II.bkp,FLOWSHEET,13,18,39,FLASH2,SRK,SI,CALCULATOR,OPTIMIZATION,-,15.00~97.50 C,1.00~405.30 bar,18,FLASH2 | 18条连接,OK,-
PVT Experiments,SRK,Separator_Test_SRK_Model_Tuning_Step I.bkp,FLOWSHEET,14,6,13,FLASH2,SRK,SI,CALCULATOR,OPTIMIZATION,-,15.00~97.80 C,1.00~200.00 bar,5,FLASH2 | 5条连接,OK,-
PVT Experiments,SRK,Separator_Test_SRK_Model_Tuning_Step II.bkp,FLOWSHEET,14,6,13,FLASH2,SRK,SI,CALCULATOR,OPTIMIZATION,-,15.00~97.80 C,1.00~200.00 bar,5,FLASH2 | 5条连接,OK,-
PVT Experiments,SRK,Swelling_Test_SRK_Model_Tuning_Step I.bkp,FLOWSHEET,22,5,16,FLASH2,SRK,SI,CALCULATOR,OPTIMIZATION,-,73.00 C,200.00~340.00 bar,4,FLASH2 | 4条连接,OK,-
PVT Experiments,SRK,Swelling_Test_SRK_Model_Tuning_Step II.bkp,FLOWSHEET,22,5,15,FLASH2,SRK,SI,CALCULATOR,OPTIMIZATION,-,73.00 C,200.00~340.00 bar,4,FLASH2 | 4条连接,OK,-
PVT Experiments,SRK,Viscosity_Experiment_SRK_Model_Tuning_Step I.bkp,FLOWSHEET,15,2,7,FLASH2,SRK,US-1,SENSITIVITY CALCULATOR,OPTIMIZATION,-,164.00 C,300.00~304.30 bar,2,FLASH2 | 2条连接,OK,-
PVT Experiments,SRK,Viscosity_Experiment_SRK_Model_Tuning_Step II.bkp,FLOWSHEET,15,2,7,FLASH2,SRK,US-1,SENSITIVITY CALCULATOR,OPTIMIZATION,-,164.00 C,300.00~304.30 bar,2,FLASH2 | 2条连接,OK,-
Pharmaceuticals,Mammalian cells culture,Mammalian cells culture.bkp,FLOWSHEET,11,15,13,BATCHOP + FSPLIT + HIERARCHY + SEP,BIOIDEAL,METCBAR,-,OPTIMIZATION CONV-OPTIONS,-,33.00 C,1.00 bar,3,BATCHOP > FSPLIT > HIERARCHY > SEP | 3条连接,OK,-
Pharmaceuticals,Penicillin,pen.bkp,FLOWSHEET,6,2,5,EXTRACT + RSTOIC,NRTL / IDEAL,ENGPHARM,SENSITIVITY CALCULATOR,OPTIMIZATION,-,5.00 C,0.98 bar,1,EXTRACT > RSTOIC | 1条连接,OK,-
Pharmaceuticals,-,solvent.bkp,FLOWSHEET,3,3,8,MIXER + RADFRAC,NRTL,ENGPHARM,SENSITIVITY CALCULATOR,OPTIMIZATION,-,37.80 C,1.03 bar,2,MIXER > RADFRAC | 2条连接,OK,-
Plant Data,C2 Splitter,C2SEO.bkp,FLOWSHEET,12,19,28,COMPR + FLASH2 + FSPLIT + HEATER + HXFLUX + MIXER + RADFRAC,SRK / STEAMNBS,OPSUP,DESIGN-SPEC SENSITIVITY,OPTIMIZATION CONV-OPTIONS,-,-35.00~-7.50 C,-0.20~36.00 bar,21,COMPR > FLASH2 > FSPLIT > HEATER > HXFLUX > MIXER > RADFRAC | 21条连接,OK,-
Polymers,-,IonicSB.bkp,FLOWSHEET,8,1,2,RBATCH,POLYNRTL,SBR,DESIGN-SPEC SENSITIVITY,OPTIMIZATION CONV-OPTIONS,RBATCH,50.00 C,9.81 bar,-,RBATCH,OK,-
Polymers,Polypropylene,pp.bkp,FLOWSHEET,9,6,17,COMPR + FLASH2 + MHEATX + MIXER + RCSTR,PC-SAFT / POLYPCSF,SET1,CALCULATOR,OPTIMIZATION CONV-OPTIONS,RCSTR,30.00~69.00 C,-2.00~30.00 bar,6,COMPR > FLASH2 > MHEATX > MIXER > RCSTR | 6条连接,OK,-
